,BrandName,Details,Sizes,MRP,SellPrice,Discount,Category
21949,catwalk,womens hot-fix rhinestone slip ons - black,"Size:4,5,6,7,8,9",2495,1247,50% off,Footwear-Women
21950,solethreads,synthetic slip on womens casual wear flats - black,"Size:4,5,6,7,8,9",1698,599,No Discount,Footwear-Women
21951,inc.5,synthetic womens party wear sandals - tan,"Size:5,6,7,8,9,10,11,12",2290,1490,35% off,Footwear-Women
21952,puma,textile lace up womens sports shoes - black,"Size:3,4,5,6,7",1698,7499,No Discount,Footwear-Women
21953,inc.5,synthetic womens party wear sandals - tan,"Size:4,5,6,7",2590,1490,42% off,Footwear-Women
21954,catwalk,womens asymmetric metallic slip ons - bronze,"Size:5,6,7",1995,997,50% off,Footwear-Women
21955,new balance,synthetic mesh lace up womens sneakers - black,"Size:4,4.5,5.5,6,6.5,7.5",9999,6999,30% off,Footwear-Women
21956,skechers,mesh lace up womens casual sneakers - black,"Size:6,9",4999,2999,40% off,Footwear-Women
21957,skechers,synthetic womens casual flip flops - taupe,"Size:6,7,8,9",1698,4999,No Discount,Footwear-Women
21958,puma,leather lace up womens casual shoes - green,"Size:3,4,5,6,7",1698,6999,No Discount,Footwear-Women
21959,skechers,mesh lace up womens casual sneakers - taupe,"Size:6,7,8,9,10",5999,3599,40% off,Footwear-Women
21960,shoetopia,synthetic womens casual clogs - red,Size:37,1698,499,No Discount,Footwear-Women
21961,estatos,pu round toe womens casual wear sandals - black & white,"Size:36,37,39,40,41",1199,779,35% off,Footwear-Women
21962,haute curry,pu slip on womens round toe flats - grey,"Size:36,37,38,39,40",2199,1539,30% off,Footwear-Women
21963,estatos,synthetic leather open toe womens party sandals - brown,"Size:37,38,39,40,41",1599,799,50% off,Footwear-Women
21964,puma,synthetic lace up womens casual shoes - black,"Size:3,4,5,6,7,8",1698,3499,No Discount,Footwear-Women
21965,crocs,eva slip on womens casual flip flops - bronze,Size:3,1698,2495,No Discount,Footwear-Women
21966,shoetopia,synthetic womens casual sandals - black,"Size:36,37,38,39,40,41",999,599,40% off,Footwear-Women
21967,estatos,pu pointed toe womens casual wear ballerinas - gold,"Size:38,39,40",1099,714,35% off,Footwear-Women
21968,puma,synthetic low boot laces unisex sports shoes - black,Size:7,1698,5999,No Discount,Footwear-Women
21969,skechers,synthetic womens casual wear flats - navy,"Size:6,7,8,9,10",3499,2099,40% off,Footwear-Women
21970,catwalk,leather buckle womens formal wedge sandals - brown,"Size:4,5,6,7,8,9",2495,1996,20% off,Footwear-Women
21971,haute curry,pu slip on womens round toe wedges - pewter,"Size:36,37,38,39,40,41",3299,2639,20% off,Footwear-Women
21972,shoetopia,synthetic womens casual sandals - peach,"Size:36,37,38,39,40,41",999,799,20% off,Footwear-Women
21973,haute curry,womens casual wear slip on heels - sand,"Size:35,36,37,38,40,41",1999,999,50% off,Footwear-Women
21974,inc.5,synthetic womens casual wear sandals - white,"Size:5,6,7,8,9,10",1990,1490,25% off,Footwear-Women
21975,shoetopia,synthetic womens casual sneakers - white,"Size:36,37,38,39,40,41",999,799,20% off,Footwear-Women
21976,skechers,eva lace up womens casual sneakers - black,"Size:6,7,8,9,10",4999,2999,40% off,Footwear-Women
21977,skechers,rubber slip on womens casual sandals - black,"Size:6,7,8,9",4299,2149,50% off,Footwear-Women
21978,inc.5,synthetic open toe womens casual wear sandals - black,"Size:5,6,7,8,9,10,11",1990,1490,25% off,Footwear-Women
21979,lemon & pepper,womens casual wear buckle closure flats - black,Size:40,1698,1699,No Discount,Footwear-Women
21980,ceriz,polyurethane open toe womens casual sandals - blush,"Size:35,36,37,38,39,40,41",1698,2299,No Discount,Footwear-Women
21981,skechers,womens casual wear slip on platforms - black,"Size:6,7,8,9,10",1698,3999,No Discount,Footwear-Women
21982,haute curry,suede slip on womens round toe sandals - grey,"Size:35,36,37,38,39,40",2999,2399,20% off,Footwear-Women
21983,catwalk,fabric slipon womens casual wear platforms - black,"Size:4,5,6",2595,1297,50% off,Footwear-Women
21984,catwalk,fabric slipon womens casual wear platforms - black,"Size:4,5,6,7,8,9",2095,1047,50% off,Footwear-Women
21985,haute curry,suede slipon womens casual shoes - natural,"Size:36,37,38,39,40,41",4999,3499,30% off,Footwear-Women
21986,catwalk,womens studded see-through slip ons - natural,"Size:4,5,6,7,8,9",2095,1047,50% off,Footwear-Women
21987,inc.5,synthetic slipon womens casual wear sandals - peach,"Size:37,38",2190,1095,50% off,Footwear-Women
21988,haute curry,pu slip on womens open toe flats - black,"Size:35,36,37,38,39,40,41",2999,2399,20% off,Footwear-Women
21989,shoetopia,synthetic womens casual sandals - red,"Size:36,37,38,39,40,41",999,599,40% off,Footwear-Women
21990,puma,agile trip lace up womens casual shoes - blue,"Size:4,5",1698,3499,No Discount,Footwear-Women
21991,skechers,mesh slipon womens casual sneakers - rose,"Size:6,7,8,9,10",5999,3599,40% off,Footwear-Women
21992,crocs,croslite slip on womens casual wear flats - bronze,"Size:2,3,4,5,6",1698,3495,No Discount,Footwear-Women
21993,inc.5,synthetic slipon womens casual flats - gold,"Size:5,6,7,8,9,10,11",1698,2490,No Discount,Footwear-Women
21994,skechers,womens casual wear lace up sneakers - white,Size:10,4999,2999,40% off,Footwear-Women
21995,haute curry,polyurethane slipon womens casual wear sandals - black,"Size:35,36,37,38,39,40,41",1698,2499,No Discount,Footwear-Women
21996,crocs,croslite slip on womens casual wear sandals - black mix,"Size:2,3,4,5,6,7",1698,4995,No Discount,Footwear-Women
21997,skechers,womens casual wear slipon platforms - navy,"Size:6,7,8,9,10",1698,3799,No Discount,Footwear-Women
21998,ceriz,pu slip on womens casual ballerinas - black,"Size:35,36,37,38,39,40",2099,1259,40% off,Footwear-Women
21999,lemon & pepper,pu slip on womens casual wear sandals - blue,"Size:35,36,37,38,39,40,41",3499,2799,20% off,Footwear-Women
22000,puma,rs-z leather lace up unisex casual shoes - blue,"Size:3,3.5,4,4.5,5,6",1698,9999,No Discount,Footwear-Women
22001,modare,polyurethane slipon womens casual ballerinas - natural,"Size:36,37,38,39,40,41",1698,3299,No Discount,Footwear-Women
22002,estatos,pu open toe womens party sandals - natural,"Size:36,37,38,39,40,41",1699,849,50% off,Footwear-Women
22003,crocs,croslite slip on womens casual wear sandals - multi,"Size:3,4,5,6,7",1698,2795,No Discount,Footwear-Women
22004,lemon & pepper,pu slip on womens casual wear sandals - pink,"Size:35,36,37,38,39,40",3299,2309,30% off,Footwear-Women
22005,puma,mesh slip on womens sneakers - gold,"Size:3,4,5,6",1698,3999,No Discount,Footwear-Women
22006,shoetopia,synthetic womens casual sandals - pink,"Size:36,37,38,39,40,41",999,699,30% off,Footwear-Women
22007,puma,textile low boot laces unisex sports shoes - black,"Size:7,8,9,10,11,12",1698,6999,No Discount,Footwear-Women
22008,inc.5,synthetic womens casual wear sandals - black,"Size:4,5,6,7,8,9,10",2290,1490,35% off,Footwear-Women
22009,inc.5,synthetic slipon womens casual wear flats - white,"Size:37,38,39,40",1890,945,50% off,Footwear-Women
22010,haute curry,pu slip on womens round toe flats - cream,Size:36,2499,1749,30% off,Footwear-Women
22011,crocs,croslite slip on womens casual wear flats - black,"Size:2,3,4,5,6",1698,2495,No Discount,Footwear-Women
22012,inc.5,synthetic womens party wear sandals - gunmetal,"Size:5,6,7,8,9,10,11",1890,1190,37% off,Footwear-Women
22013,crocs,croslite slip on womens casual flip flops - pink mix,"Size:3,4,5",1698,2495,No Discount,Footwear-Women
22014,skechers,fabric slipon womens casual slippers - navy,"Size:6,7,8,9,10",1698,2499,No Discount,Footwear-Women
22015,crocs,croslite slip on womens casual wear sandals - black,"Size:2,3,4,5,6,7,8",1698,4995,No Discount,Footwear-Women
22016,ceriz,polyurethane pointed toe womens casual ballerinas - sage,"Size:35,36,37,38,39,40,41",1698,1899,No Discount,Footwear-Women
22017,catwalk,pu tie up womens casual wear loafers - pink,"Size:4,5,6,7,8",2295,1119,51% off,Footwear-Women
22018,puma,textile lace up womens sports shoes - pink,"Size:3,4,5,6,7",1698,3999,No Discount,Footwear-Women
